time_min,boss_1,chest_1,chest1_evo,chance1,chance2,boss_2,chest_2,chest1_evo,chance1,chance2
3,27,1,0,0.1,5,-1,0,0,0,0
5,27,1,0,1,5,-1,0,0,0,0
8,45,1,0,3,10,-1,0,0,0,0
10,47,1,1,3,10,-1,0,0,0,0
11,49,1,1,0,0,3,0,0,0,0
12,3,1,1,1,5,-1,0,0,0,0
13,46,1,1,1,5,-1,0,0,0,0
14,4,1,1,1,5,-1,0,0,0,0
15,48,1,1,3,10,-1,0,0,0,0
16,3,1,1,1,5,-1,0,0,0,0
18,40,1,1,3,0,-1,0,0,0,0
20,50,1,1,3,10,-1,0,0,0,0
21,3,0,0,0,0,-1,0,0,0,0
22,3,1,1,3,10,-1,0,0,0,0
23,47,1,1,3,10,-1,0,0,0,0
25,51,1,1,3,10,-1,0,0,0,0
26,48,1,1,3,10,-1,0,0,0,0
27,48,1,1,3,10,-1,0,0,0,0
28,48,1,1,3,10,-1,0,0,0,0
