time_min,enemy_type_1,enemy_weight_1,enemy_type_2,enemy_weight_2,enemy_type_3,enemy_weight_3,minimum,interval_tick
0,53,1,-1,0,-1,0,50,3000
1,53,1,54,1,-1,0,80,3000
2,53,1,2,1,-1,0,100,4000
3,55,1,-1,0,-1,0,60,4000
4,53,1,14,1,-1,0,110,4000
5,41,1,55,1,-1,0,100,4000
6,56,1,54,1,-1,0,60,2000
7,57,1,58,1,59,1,80,2000
8,55,1,60,1,-1,0,80,1000
9,56,1,60,1,-1,0,200,500
10,61,1,-1,0,-1,0,100,500
11,62,1,63,1,-1,0,60,2000
12,62,1,57,1,58,1,80,1000
13,62,1,57,1,58,1,120,500
14,56,1,62,1,60,1,300,100
15,62,1,-1,0,-1,0,100,100
16,65,1,-1,0,-1,0,100,1000
17,65,1,64,1,-1,0,100,800
18,66,1,64,1,-1,0,60,100
19,55,1,-1,0,-1,0,200,500
20,63,1,56,1,-1,0,100,500
21,67,1,-1,0,-1,0,100,100
22,67,1,68,1,-1,0,80,1000
23,69,1,62,1,-1,0,100,100
24,70,1,-1,0,-1,0,60,1000
25,54,1,-1,0,-1,0,300,100
26,71,1,-1,0,-1,0,100,100
27,72,1,70,1,-1,0,100,100
28,71,1,72,1,-1,0,100,100
29,73,1,74,1,-1,0,50,100
30,29,1,-1,0,-1,0,1,10000
